arq,cc,var,val,goodput_mbps,utilization
gbn,reno,loss,0.0,14.268,1.0
gbn,reno,loss,1.0,16.31,1.0
gbn,reno,loss,3.0,0.134,0.7937
gbn,reno,loss,5.0,0.133,0.7812
sr,reno,loss,0.0,13.955,1.0
sr,reno,loss,1.0,1.538,0.9804
sr,reno,loss,3.0,1.525,0.9901
sr,reno,loss,5.0,0.387,0.9524
sr,vegas,loss,0.0,9.286,1.0
sr,vegas,loss,1.0,23.583,1.0
sr,vegas,loss,3.0,1.567,0.9804
sr,vegas,loss,5.0,0.53,0.9091
sr,reno,delay,0.0,13.495,1.0
sr,vegas,delay,0.0,13.167,1.0
sr,reno,delay,50.0,1.48,1.0
sr,vegas,delay,50.0,1.645,1.0
sr,reno,delay,100.0,0.77,1.0
sr,vegas,delay,100.0,0.857,1.0
sr,reno,delay,200.0,0.399,1.0
sr,vegas,delay,200.0,0.493,1.0
gbn,reno,size_kb,100.0,0.291,1.0
gbn,reno,size_kb,200.0,0.107,0.9217
gbn,reno,size_kb,300.0,0.124,0.9288
gbn,reno,size_kb,400.0,0.129,0.9238
sr,reno,size_kb,100.0,0.288,1.0
sr,reno,size_kb,200.0,0.400,1.0
sr,reno,size_kb,300.0,0.461,1.0
sr,reno,size_kb,400.0,0.550,1.0
sr,vegas,size_kb,100.0,0.041,1.0
sr,vegas,size_kb,200.0,0.029,1.0
sr,vegas,size_kb,300.0,0.035,0.9967
sr,vegas,size_kb,400.0,0.049,0.9975